,username,description,date,time,following,followers,totaltweets,retweetcount,text,hashtags
15,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,20:40:15,3,8798,19477,2,"Elon Musk's '50% Clean Energy' $BTC Goal Braced With First Solar  Mining Plant Powered By Tesla

Sentiment: Positive

Tesla will provide a 3.8-megawatt solar photovoltaic array and a 12...

Brief: 
",['Bitcoin']
16,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,18:10:14,3,8798,19477,0,"Some of the largest and most Innovative Companies in The World Are Gathering Strength In Order To Create A Green  (BTC) Mining Facility

Sentiment: Positive

Some of the largest and most...

Brief: 
",['Bitcoin']
17,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,16:50:15,3,8798,19477,1,"Ethereum's Hashrate Taps an All-Time High as Miners Race to Mint $ETH Before The Merge

Sentiment: Positive

While the Ethereum community is getting prepared for The Merge and the protocol's transition...

Brief: 
",[]
18,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,14:20:15,3,8798,19477,0,"Bitcoin 2022: Celebrity speakers and a replica volcano as conference tries to stop consumers using cash | Science; Tech News

Sentiment: Positive

At the heart of a bustling conference hall, steam...

Brief: 
",[]
19,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,13:40:15,3,8798,19477,0,"Mexico’s third-richest man Ricardo Salinas Pliego: ""I have 60% in  and  equities and then 40% in hard-asset stock""

Sentiment: Neutral

Mexico's third-richest man and a strong bitcoin...

Brief: 
","['Bitcoin', 'Bitcoin']"
20,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,13:20:35,3,8798,19477,0,"Serena Williams: 'I'm Really In Love With Ethereum'

Sentiment: Positive

Tennis superstar Serena Williams prefers Ethereum ETH/USD over  BTC/USD and other cryptocurrencies on the market. ""I...

Brief: 
",['Bitcoin']
21,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,13:20:15,3,8798,19477,0,"Tesla is building a solar and Megapack farm to power a new  mining facility

Sentiment: Positive

Tesla is going to build a solar and Megapack farm for energy storage that is going to power a new...

Brief: 
",['Bitcoin']
22,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,13:00:23,3,8798,19477,0,"Anti-Bitcoin ‘Shark Tank’ Investor Kevin O’Leary Now Believes  Is The World's Savior

Sentiment: Neutral

This week, Kevin O'Leary of Shark Tank joined a slew of other Bitcoin proponents in...

Brief: 
",['Crypto']
23,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,12:50:14,3,8798,19477,0,"The UK's Push for a Future in Crypto

Sentiment: Neutral

UK announces NFT to promote national crypto initiative. The UK is looking to make stablecoins a valid form of payment, and the Royal Mint will...

Brief: 
",[]
24,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,12:30:16,3,8798,19477,2,"Honduras Is Adopting  as Legal Tender

Sentiment: Positive

Brief: 
",['Bitcoin']
25,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,12:00:34,3,8798,19477,0,"Blockstream and Block Inc to build solar  mining facility

Sentiment: Positive

On Friday, cryptocurrency storage company Blockstream and Block Inc. announced the construction of a solar-powered...

Brief: 
",['Bitcoin']
26,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,10:00:15,3,8798,19477,0,"Environmental Impact Of Cryptocurrency

Sentiment: Positive

Bitcoin and many other cryptocurrencies are being produced by mining, and mining takes a lot of energy to create bitcoins or any other...

Brief: 
",[]
27,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,09:40:19,3,8798,19477,1,"Block, Blockstream and Tesla collaborate for green  mining facility | CryptoSlate

Sentiment: Positive

Per CNBC, the co-founder of Blockstream, Adam Back, said the facility would be built to...

Brief: 
",['Bitcoin']
28,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,08:20:22,3,8798,19477,3,"Ark CEO Cathie Wood Is As Bullish As Ever, Sees  Hitting $1 Million By 2030

Sentiment: Positive

Cathie Wood repeated her positive view on bitcoin this week at the Bitcoin 2022 conference in...

Brief: 
",['Bitcoin']
29,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,06:30:36,3,8798,19477,0,"Crypto-Friendly Special Economic Zone in Honduras Adopts  as Legal Tender

Sentiment: Positive

A crypto-friendly special economic zone in Honduras has adopted bitcoin as legal tender, allowing...

Brief: 
",['Bitcoin']
30,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,06:00:18,3,8798,19477,1,"250  From 2009 Moved After 12.4 Years — Rare $BTC Mined Over a 2-Day Span.

Sentiment: Positive

April initially invest happened at 2:25a m. on November 7, and also the coinbase incentive at...

Brief: 
",['Bitcoin']
31,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,05:40:13,3,8798,19477,0,"MicroStrategy Funds Latest Purchase With Bitcoin-Backed Loan

Sentiment: Neutral

Brief: 
",[]
32,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,04:40:40,3,8798,19477,0,"Terra Turns To AVAX Reserves To Stay Ahead Of Competitors

Sentiment: Positive

First was the  reserves, and now, it has been revealed that Terra is looking to add AVAX reserves to ward off...

Brief: 
",['Bitcoin']
33,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,02:20:18,3,8798,19477,2,"Total Value of  Market More Than Doubled in a Year, Shows No Sign of Slowing

Sentiment: Positive

So Morningstar's market cap estimate is based on the value of bitcoin and the 99 other biggest...

Brief: 
",['Crypto']
34,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,23:10:12,3,8798,19477,0,"60 Minutes feature on El Salvador's  Beach will air Sunday

Sentiment: Positive

Brief: 
",['Bitcoin']
35,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,23:00:14,3,8798,19477,0,"Bitcoin is the number 1 recurring buy asset for 2022 - more than Apple and Tesla

Sentiment: Positive

Brief: 
",[]
36,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,22:10:14,3,8798,19477,0,"Mexico’s Third Richest Person Has 60% of His Liquid Portfolio in Crypto

Sentiment: Positive

Brief: 
",[]
37,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,21:40:24,3,8798,19477,0,"PayPal's Peter Thiel unloads on Warren Buffett, calling him 'the sociopathic grandpa from Omaha'

Sentiment: Neutral

PayPal billionaire Peter Thiel slammed critics of , naming Warren Buffett...

Brief: 
",['Bitcoin']
38,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,20:40:13,3,8798,19477,0,"Dave Portnoy at the  conference says crypto is ""too big to fail."" He has $1 million invested in  and his $40k SafeMoon bet is now worth $2k

Sentiment: Neutral

Appearing on ""Varney &amp;...

Brief: 
","['Bitcoin', 'Bitcoin']"
39,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,20:30:15,3,8798,19477,0,"Bank of America Strategist Warns 'Recession Shock' Is Coming, Analyst Says  Could Outperform Bonds

Sentiment: Negative

On Friday, Bank of America's chief investment strategist Michael Hartnett...

Brief: 
",['Crypto']
40,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,19:10:24,3,8798,19477,0,"PayPal's Peter Thiel unloads on Warren Buffet, calling him 'the sociopathic grandpa from Omaha'

Sentiment: Neutral

PayPal billionaire Peter Thiel slammed critics of , naming Warren Buffet...

Brief: 
",['Bitcoin']
41,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,19:00:13,3,8798,19477,0,"Jack Dorsey and Elon Musk are teaming up for a sustainable  mine

Sentiment: Positive

Former Twitter CEO and current Block overseer Jack Dorsey and Tesla Technoking Elon Musk have a new joint...

Brief: 
",['Bitcoin']
42,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,18:20:33,3,8798,19477,0,"Mexican Billionaire Ricardo Salinas Claims  Has 60% Of His Liquid Assets

Sentiment: Neutral

Brief: 
",['Bitcoin']
43,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,18:00:46,3,8798,19477,0,"Bitcoin Can’t Save Robinhood Stock, Goldman Says

Sentiment: Neutral

Robinhood has connected the retail traders who use its platform to digital assets-but its new crypto wallet hasn't stopped the...

Brief: 
",[]
44,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,16:50:24,3,8798,19477,0,"Tesla, Block, and Blockstream to mine  off solar power in Texas

Sentiment: Neutral

Electric-vehicle maker Tesla Inc TSLA.O&gt;, payments firm Block Inc and blockchain company Blockstream Corp will...

Brief: 
",['Crypto']
45,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,16:20:16,3,8798,19477,0,"Robinhood’s  wallet opens up to the 2M people waiting for it

Sentiment: Positive

Robinhood's cryptocurrency wallet, which lets users spend and trade select digital currencies including Bitcoin...

Brief: 
",['Crypto']
46,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,16:10:34,3,8798,19477,0,"Strike deals with Shopify to let US merchants accept  via Lightning

Sentiment: Positive

US-based online merchants can now accept Bitcoin from customers anywhere in the world after payments...

Brief: 
",['Bitcoin']
47,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,16:10:14,3,8798,19477,0,"What Does The Future Hold For  Mining?

Sentiment: Neutral

Brief: 
",['Bitcoin']
48,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,16:00:16,3,8798,19477,0,"How  Tracers Took Down the Web’s Biggest Child Abuse Site

Sentiment: Neutral

Welcome to Video, it seemed, was among the rare sites that sold access to clips of child sexual abuse in exchange...

Brief: 
",['Bitcoin']
49,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,15:00:32,3,8798,19477,0,"Tesla, Block and Blockstream team up to mine  off solar power plant in Texas

Sentiment: Positive

MIAMI - Blockstream and Jack Dorsey's Block, formerly Square, are breaking ground on a solar-...

Brief: 
",['Bitcoin']
50,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,13:30:15,3,8798,19477,0,"Peter Thiel calls Warren Buffett crypto’s ‘enemy number one’

Sentiment: Neutral

Billionaire venture capitalist Peter Theil on Thursday said that American tycoon Warren Buffett is 's...

Brief: 
",['Bitcoin']
51,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,11:40:34,3,8798,19477,0,"Michael Saylor: Biden Effectively Greenlit  With His Recent Executive Order

Sentiment: Positive

On Thursday, Michael J. Saylor, Co-Founder, Chairman, and CEO of Nasdaq-listed business...

Brief: 
",['Bitcoin']
52,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,09:40:33,3,8798,19477,0,"Terra Expands Stablecoin Reserves to Include Avalanche

Sentiment: Positive

The aggressive  buying by the Terra ecosystem has been big news lately, and it has now expanded beyond that one...

Brief: 
",['Bitcoin']
53,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,09:40:15,3,8798,19477,0,"Protect Your Bitcoins Against Theft and Hacks

Sentiment: Positive

Digital exchanges take their own safety precautions to prevent thefts, but they are not immune to hacks.  security...

Brief: 
",['Cryptocurrency']
